p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,index
0,0,0,0,3310,1715,0,0,0,0,0,0,2023-08-22T19:00:32.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:32.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:33.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:33.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:34.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:34.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:35.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:35.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:36.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:36.515000
0,0,0,0,4050,1725,324,120,189,0,0,0,2023-08-22T19:00:37.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:38.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:38.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:39.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:39.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:40.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:40.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:41.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:41.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:42.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:42.515000
1136,2047,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:00:43.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:02.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:02.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:03.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:03.515000
0,472,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:04.015000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:09.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:10.015000
0,36,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:10.515000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:11.016000
0,109,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:11.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:12.516000
0,101,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:13.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:14.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:14.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:15.016000
0,368,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:15.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:20.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:21.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:21.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:22.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:22.516000
0,1697,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:23.016000
